episode,dfn_val_rank1,dfn_val_map,seconds
25,0.8383233547210693,0.6938088577784882,59.7
50,0.802395224571228,0.6777725037130262,121.7
75,0.772455096244812,0.6483793888766208,191.4
100,0.7305389046669006,0.6387883619806866,260.9
125,0.8143712282180786,0.6712426512331867,570.5
150,0.7305389046669006,0.6170497939608659,1329.7
175,0.7365269660949707,0.6351382982685391,2168.1
200,0.71856290102005,0.6227677304983071,2597.0
225,0.7245509028434753,0.632483872060581,2807.4
250,0.7485029697418213,0.6448987068115275,3382.8
275,0.688622772693634,0.6306250523152531,4078.4
300,0.7245509028434753,0.6402911980837607,4699.4
325,0.7365269660949707,0.6461806995104887,5263.2
350,0.7604790329933167,0.6641177073831369,7268.2
375,0.71257483959198,0.6433707792563451,8870.8
400,0.7365269660949707,0.6463178624306547,10447.4
425,0.742514967918396,0.6489642512233854,12026.1
450,0.7544910311698914,0.6501936190307646,13146.2
475,0.742514967918396,0.649656519019965,14659.3
500,0.7664670944213867,0.6558127231090766,16245.1
