step,ce_loss,triplet_loss,triplet_acc,mpdd_val_acc,dfn_val_rank1,dfn_val_map,seconds
100,6.120005006790161,0.29700067043304446,0.4777799598872662,0.34545454545454546,0.8083832263946533,0.696630974346503,140.5
200,4.398804051876068,0.2262612996995449,0.6723861142992973,0.5636363636363636,0.8802395462989807,0.7441067925009599,143.8
300,3.170516319274902,0.19109175987541677,0.7592705219984055,0.7272727272727273,0.8982036113739014,0.7725768307990726,117.1
400,2.394595798254013,0.16977720774710178,0.825562350153923,0.7272727272727273,0.886227548122406,0.7820145141596495,115.5
500,1.900166960954666,0.15671660333871842,0.8428144365549087,0.8818181818181818,0.910179615020752,0.7959346246013616,116.4
600,1.58515305519104,0.1460044464841485,0.872778097987175,0.9363636363636364,0.910179615020752,0.8033575896199611,116.2
700,1.4427126157283783,0.13135290786623954,0.9042665416002273,0.9272727272727272,0.916167676448822,0.809545969124058,115.5
800,1.348709989786148,0.126525557115674,0.909019712805748,0.9545454545454546,0.940119743347168,0.8295819944339812,115.7
900,1.306956671476364,0.1178172903880477,0.9304801434278488,0.9636363636363636,0.9341317415237427,0.8348789428209873,116.1
1000,1.2755242109298706,0.11440369121730327,0.9337092006206512,0.9636363636363636,0.9341317415237427,0.8371617940842302,116.2
1100,1.251178082227707,0.11326072216033936,0.9338639307022095,0.9727272727272728,0.9221556782722473,0.830384011564077,115.9
1200,1.2356176006793975,0.10250290717929601,0.9438561338186264,0.9636363636363636,0.9341317415237427,0.8419720600550309,115.2
1300,1.2315658855438232,0.10089157976210117,0.9434097301959992,0.9727272727272728,0.9281437397003174,0.8398240291970768,115.5
1400,1.2264297890663147,0.10350765075534582,0.9446182888746262,0.9727272727272728,0.9281437397003174,0.8383947337277728,114.3
1500,1.2240168929100037,0.09555466111749411,0.9558597666025161,0.9727272727272728,0.9341317415237427,0.8417277223953675,115.1
