exp_name,dataset,backbone,rank1,rank5,rank10,mAP,num_valid_queries,num_queries,seconds
E0_imagenet_baseline,mpdd,resnet50_imagenet,0.7884615659713745,0.932692289352417,0.9711538553237915,0.6712298455018981,104,104,21.5
E0_imagenet_baseline,dogfacenet,resnet50_imagenet,0.8381295204162598,0.931654691696167,0.9460431933403015,0.7307518279160325,278,278,14.4
E1_ce_bnneck,mpdd,resnet50_imagenet,0.807692289352417,0.932692289352417,0.9807692170143127,0.6923426764362104,104,104,6.1
E1_ce_bnneck,dogfacenet,resnet50_imagenet,0.8741007447242737,0.9424460530281067,0.9496402740478516,0.7561499853811895,278,278,14.4
E2_protonet,mpdd,resnet50_imagenet,0.5961538553237915,0.7980769276618958,0.8846153616905212,0.45649924416847765,104,104,4.4
E2_protonet,dogfacenet,resnet50_imagenet,0.7589927911758423,0.8776978254318237,0.9064748287200928,0.6131656947510737,278,278,10.2
E1_ce_bnneck_dfnonly,mpdd,resnet50_imagenet,0.7788461446762085,0.8653846383094788,0.9519230723381042,0.6185257976726147,104,104,6.4
E1_ce_bnneck_dfnonly,dogfacenet,resnet50_imagenet,0.8848921060562134,0.9388489127159119,0.9604316353797913,0.7552507227758747,278,278,14.5
E2_protonet_dfnonly,mpdd,resnet50_imagenet,0.6730769276618958,0.9038461446762085,0.9519230723381042,0.557441952804743,104,104,6.1
E2_protonet_dfnonly,dogfacenet,resnet50_imagenet,0.769784152507782,0.8561151027679443,0.9100719690322876,0.6120370010721293,278,278,13.8
E0_imagenet_baseline,shelter,resnet50_imagenet,0.7954071164131165,0.8977035284042358,0.9171885848045349,0.8406375668735946,1437,1437,55.2
E1_ce_bnneck,shelter,resnet50_imagenet,0.7668754458427429,0.8726513385772705,0.8977035284042358,0.8136915337465522,1437,1437,56.4
E3_breedpretrain,mpdd,resnet50_imagenet,0.8269230723381042,0.932692289352417,0.9903846383094788,0.7105381867559303,104,104,4.2
E3_breedpretrain,dogfacenet,resnet50_imagenet,0.8848921060562134,0.9388489127159119,0.9532374143600464,0.7449414741976702,278,278,9.9
