epoch,train_loss,train_acc,test_acc,seconds
1,2.2827687814271105,0.5585172844648063,0.7068351149983803,303.8
2,1.7208851588925902,0.7060946827710676,0.7364755425979915,303.4
3,1.5845411431205185,0.752464251006525,0.7555879494655005,303.7
4,1.4705876540131457,0.7867555185339442,0.7643343051506317,303.9
5,1.366846265022281,0.8216021102318478,0.7698412698412699,304.0
6,1.3014451588224607,0.8472858531167569,0.7840945902170392,302.9
7,1.2214225319612528,0.8732472580869083,0.7955944282474895,304.1
8,1.1409368408101972,0.9036512564209357,0.8022351797862002,299.5
9,1.0961102175907875,0.9165625433847008,0.8030450275348234,301.9
10,1.0378894233610934,0.9376648618631126,0.8134110787172012,299.7
11,1.003164317133558,0.9512008885186728,0.8237771298995789,300.0
12,0.9801247902881697,0.9569623767874497,0.8268545513443473,299.9
13,0.9537147226787749,0.9666805497709288,0.8252348558471008,299.9
14,0.94071723238786,0.9716090517839789,0.8279883381924198,300.1
15,0.9321193743228714,0.973344439816743,0.8304178814382897,299.9
