epoch,train_loss,train_acc,mpdd_val_loss,mpdd_val_acc,dfn_val_rank1,dfn_val_map,seconds
1,4.95994959491567,0.24132130295152163,2.1367337638681585,0.5909090909090909,0.8502994179725647,0.7067099146575255,125.2
2,2.4555945242557855,0.7014834072488147,0.9293513319709085,0.8363636363636363,0.8622754216194153,0.7436477486841344,122.6
3,1.6849692973326353,0.8927970637712188,0.6360340627756986,0.9,0.8742514848709106,0.7481353408464139,122.6
4,1.4537643550605033,0.9490747820767701,0.5438451095060869,0.8818181818181818,0.8742514848709106,0.7497845941446489,122.1
5,1.3595800537785216,0.9698730692766478,0.49741875366731125,0.9090909090909091,0.8802395462989807,0.7592274061777455,121.7
6,1.3049206646926397,0.9798134271295305,0.5060967700047927,0.9090909090909091,0.8742514848709106,0.7631921438196989,121.5
7,1.259430138957958,0.9886832849059489,0.41782411445270884,0.9272727272727272,0.886227548122406,0.7600353765255524,120.9
8,1.2296673277682677,0.9932711423765102,0.37677375132387336,0.9363636363636364,0.886227548122406,0.7677124533472116,120.8
9,1.1998474572225892,0.996329714023551,0.36521992737596687,0.9636363636363636,0.8682634830474854,0.762057941374067,121.0
10,1.1840367102079716,0.9969414283529592,0.36826828772371467,0.9727272727272728,0.8802395462989807,0.7686318106161055,120.8
11,1.1743179958955758,0.9970943569353112,0.3353096065196124,0.9636363636363636,0.8802395462989807,0.7625633117524238,120.7
12,1.157241520121076,0.9986236427588316,0.38031798113476145,0.9727272727272728,0.8802395462989807,0.7744712817731517,120.9
13,1.1492333272160111,0.9989294999235357,0.36541356444358825,0.9727272727272728,0.8742514848709106,0.7665592790437169,120.4
14,1.1469644437344508,0.9987765713411837,0.35150252336805515,0.9727272727272728,0.8922155499458313,0.7702855910580129,120.2
15,1.1434444036846916,0.9990824285058878,0.3506550778042186,0.9727272727272728,0.8922155499458313,0.7718279661469786,120.4
