epoch,train_loss,train_acc,dfn_val_rank1,dfn_val_map,seconds
1,5.338491897894997,0.21396993810786913,0.8083832263946533,0.6609502422081468,145.4
2,2.712001327157126,0.6702033598585323,0.826347291469574,0.7225761027563109,147.1
3,1.7378200202574254,0.8884173297966401,0.8802395462989807,0.7572336580808207,143.9
4,1.4607134675473685,0.9499557913351017,0.8802395462989807,0.7598945562283794,152.6
5,1.3450570182606354,0.9757736516357206,0.8682634830474854,0.7565128354702861,149.2
6,1.2729072096493264,0.9872679045092838,0.8622754216194153,0.759741116929573,147.8
7,1.2319079098714125,0.993103448275862,0.8922155499458313,0.7706436492855797,148.0
8,1.2052626319104438,0.9945181255526083,0.886227548122406,0.7777214631872539,148.0
9,1.1823151077031036,0.9966401414677277,0.8742514848709106,0.7766324114599129,147.9
10,1.1638000347464619,0.9977011494252873,0.886227548122406,0.7738728540270835,150.5
11,1.1544541014705898,0.9980548187444739,0.8922155499458313,0.7855135478224582,152.2
12,1.142129258156666,0.998762157382847,0.8802395462989807,0.7765081318909518,152.4
13,1.1358037756777357,0.9989389920424403,0.886227548122406,0.7784875924146092,156.6
14,1.134476729771608,0.998762157382847,0.886227548122406,0.7829460526174701,155.6
15,1.12898510202278,0.9991158267020336,0.8982036113739014,0.7793906775197461,154.2
