epoch,train_loss,train_acc,mpdd_val_loss,mpdd_val_acc,dfn_val_rank1,dfn_val_map,seconds
1,5.249571608738681,0.2301575164398226,2.26229471726851,0.6272727272727273,0.8083832263946533,0.6697364912142828,184.6
2,2.5331905669148025,0.7076005505428965,0.827428243376992,0.8363636363636363,0.85628741979599,0.7246835691792824,173.9
3,1.666644936527457,0.8992200642300046,0.7055888902057301,0.8818181818181818,0.8922155499458313,0.7536980025311919,1276.5
4,1.4157504846896942,0.9616149258296376,0.5619078381495042,0.9,0.886227548122406,0.7611008065271161,184.0
5,1.331670677740287,0.9788958556354183,0.45738549963994457,0.9181818181818182,0.886227548122406,0.7639131440876039,174.6
6,1.2749713540423588,0.9870010705000765,0.349139990047975,0.9545454545454546,0.8682634830474854,0.7470359967310434,174.7
7,1.2453370328743645,0.992659428047102,0.36556979729370637,0.9545454545454546,0.8922155499458313,0.7531513101300631,172.3
8,1.2096940367242615,0.9958709282764949,0.35916337262500414,0.9636363636363636,0.8922155499458313,0.7578934879460092,179.2
9,1.1902516748876377,0.9970943569353112,0.3423013578761708,0.9545454545454546,0.886227548122406,0.760344856069971,171.5
10,1.170448430799749,0.9989294999235357,0.32836573015559806,0.9545454545454546,0.9041916131973267,0.7620804151063806,172.2
11,1.1561278846399157,0.9990824285058878,0.3423117624087767,0.9545454545454546,0.9041916131973267,0.7639254889248684,171.9
12,1.1462081713055887,0.9992353570882397,0.3419450483538888,0.9636363636363636,0.910179615020752,0.7657944070757294,171.9
13,1.1417137657872287,0.9989294999235357,0.3496941311792894,0.9636363636363636,0.8922155499458313,0.7685526149594109,175.2
14,1.136647767276096,0.9992353570882397,0.33174452077258715,0.9636363636363636,0.910179615020752,0.7735691419955943,177.1
15,1.1338131971945546,0.9992353570882397,0.329293645511974,0.9636363636363636,0.8982036113739014,0.7772079386205605,177.8
