episode,dfn_val_rank1,dfn_val_map,seconds
20,0.7904191613197327,0.6538375553114358,72.6
40,0.7604790329933167,0.6176679697909119,150.7
60,0.7245509028434753,0.6143726270543568,257.7
80,0.7544910311698914,0.6364448412292647,479.5
100,0.772455096244812,0.6357486001988001,776.0
120,0.772455096244812,0.6479468027825304,891.7
140,0.7844311594963074,0.6479791068814232,1135.1
160,0.7664670944213867,0.6504864814426132,1387.7
180,0.7844311594963074,0.6457014812036905,1891.9
200,0.772455096244812,0.6451312170662338,2380.9
